Entity,Code,Day,total_vaccinations_per_hundred
Africa,,2021-06-16,3.04
Africa,,2021-06-17,3.07
Africa,,2021-06-18,3.1
Africa,,2021-06-19,3.11
Africa,,2021-06-20,3.15
Africa,,2021-06-21,3.21
Africa,,2021-06-22,3.22
Africa,,2021-06-23,3.26
Africa,,2021-06-24,3.36
Africa,,2021-06-25,3.39
Africa,,2021-06-26,3.4
Africa,,2021-06-27,3.42
Africa,,2021-06-28,3.49
Africa,,2021-06-29,3.51
Africa,,2021-06-30,3.54
Africa,,2021-07-01,3.57
Africa,,2021-07-02,3.59
Africa,,2021-07-03,3.61
Africa,,2021-07-04,3.63
Africa,,2021-07-05,3.71
Africa,,2021-07-06,3.74
Africa,,2021-07-07,3.76
Africa,,2021-07-08,3.81
Africa,,2021-07-09,3.83
Africa,,2021-07-10,3.84
Africa,,2021-07-11,3.84
Africa,,2021-07-12,3.96
Africa,,2021-07-13,4
Africa,,2021-07-14,4.02
Africa,,2021-07-15,4.11
Africa,,2021-07-16,4.12
Africa,,2021-07-17,4.14
Africa,,2021-07-18,4.16
Africa,,2021-07-19,4.25
Africa,,2021-07-20,4.28
Africa,,2021-07-21,4.28
Africa,,2021-07-22,4.36
Africa,,2021-07-23,4.39
Africa,,2021-07-24,4.41
Africa,,2021-07-25,4.46
Africa,,2021-07-26,4.52
Africa,,2021-07-27,4.59
Africa,,2021-07-28,4.64
Africa,,2021-07-29,4.72
Africa,,2021-07-30,4.75
Africa,,2021-07-31,4.76
Africa,,2021-08-01,4.81
Africa,,2021-08-02,4.87
Africa,,2021-08-03,5.03
Africa,,2021-08-04,5.06
Africa,,2021-08-05,5.13
Africa,,2021-08-06,5.16
Africa,,2021-08-07,5.19
Africa,,2021-08-08,5.24
Africa,,2021-08-09,5.37
Africa,,2021-08-10,5.42
Africa,,2021-08-11,5.46
Africa,,2021-08-12,5.57
Africa,,2021-08-13,5.64
Africa,,2021-08-14,5.66
Africa,,2021-08-15,5.69
Africa,,2021-08-16,5.88
Africa,,2021-08-17,5.93
Africa,,2021-08-18,6.03
Africa,,2021-08-19,6.16
Africa,,2021-08-20,6.55
Africa,,2021-08-21,6.58
Africa,,2021-08-22,6.63
Africa,,2021-08-23,6.71
Africa,,2021-08-24,6.79
Africa,,2021-08-25,7.01
Africa,,2021-08-26,7.02
Africa,,2021-08-27,7.25
Africa,,2021-08-28,7.31
Africa,,2021-08-29,7.41
Africa,,2021-08-30,7.45
Africa,,2021-08-31,7.55
Africa,,2021-09-01,7.72
Africa,,2021-09-02,7.75
Africa,,2021-09-03,7.79
Africa,,2021-09-04,8.12
Africa,,2021-09-05,8.28
Africa,,2021-09-06,8.4
Africa,,2021-09-07,8.44
Africa,,2021-09-08,8.49
Africa,,2021-09-09,8.6
Africa,,2021-09-10,8.68
Africa,,2021-09-11,8.81
Africa,,2021-09-12,9.02
Africa,,2021-09-13,9.06
Africa,,2021-09-14,9.27
Africa,,2021-09-15,9.38
Africa,,2021-09-16,9.49
Africa,,2021-09-17,9.52
Africa,,2021-09-18,9.56
Africa,,2021-09-19,9.76
Africa,,2021-09-20,9.83
Africa,,2021-09-21,9.88
Africa,,2021-09-22,10.13
Africa,,2021-09-23,10.18
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,0
Albania,ALB,2021-01-13,0.01
Albania,ALB,2021-01-14,0.01
Albania,ALB,2021-01-15,0.01
Albania,ALB,2021-01-16,0.01
Albania,ALB,2021-01-17,0.01
Albania,ALB,2021-01-18,0.02
Albania,ALB,2021-01-19,0.02
Albania,ALB,2021-01-20,0.02
Albania,ALB,2021-01-21,0.02
Albania,ALB,2021-02-02,0.02
Albania,ALB,2021-02-09,0.04
Albania,ALB,2021-02-17,0.06
Albania,ALB,2021-02-18,0.11
Albania,ALB,2021-02-19,0.15
Albania,ALB,2021-02-22,0.23
Albania,ALB,2021-02-25,0.35
Albania,ALB,2021-03-01,0.5
Albania,ALB,2021-03-03,0.55
Albania,ALB,2021-03-10,0.75
Albania,ALB,2021-03-12,0.82
Albania,ALB,2021-03-17,1.16
Albania,ALB,2021-03-22,1.68
Albania,ALB,2021-03-23,1.8
Albania,ALB,2021-03-24,1.88
Albania,ALB,2021-03-25,2.07
Albania,ALB,2021-03-26,2.17
Albania,ALB,2021-03-27,2.23
Albania,ALB,2021-03-28,2.71
Albania,ALB,2021-03-30,4.15
Albania,ALB,2021-03-31,4.83
Albania,ALB,2021-04-01,5.41
Albania,ALB,2021-04-02,6
Albania,ALB,2021-04-03,6.46
Albania,ALB,2021-04-04,6.71
Albania,ALB,2021-04-05,7.2
Albania,ALB,2021-04-06,7.71
Albania,ALB,2021-04-07,8.09
Albania,ALB,2021-04-08,8.44
Albania,ALB,2021-04-09,8.73
Albania,ALB,2021-04-10,8.94
Albania,ALB,2021-04-12,9.31
Albania,ALB,2021-04-13,9.79
Albania,ALB,2021-04-15,10.6
Albania,ALB,2021-04-16,10.95
Albania,ALB,2021-04-17,11.31
Albania,ALB,2021-04-18,11.59
Albania,ALB,2021-04-19,12.04
Albania,ALB,2021-04-20,12.18
Albania,ALB,2021-04-21,12.95
Albania,ALB,2021-04-22,13.33
Albania,ALB,2021-04-23,13.62
Albania,ALB,2021-04-24,13.93
Albania,ALB,2021-04-26,14.22
Albania,ALB,2021-04-27,14.51
Albania,ALB,2021-04-28,15.09
Albania,ALB,2021-04-29,15.78
Albania,ALB,2021-04-30,16.6
Albania,ALB,2021-05-01,17.2
Albania,ALB,2021-05-03,18.01
Albania,ALB,2021-05-04,18.71
Albania,ALB,2021-05-05,19.37
Albania,ALB,2021-05-06,19.92
Albania,ALB,2021-05-07,20.39
Albania,ALB,2021-05-08,20.77
Albania,ALB,2021-05-09,20.88
Albania,ALB,2021-05-10,21.34
Albania,ALB,2021-05-11,21.67
Albania,ALB,2021-05-12,22.02
Albania,ALB,2021-05-13,22.22
Albania,ALB,2021-05-14,22.74
Albania,ALB,2021-05-17,23.67
Albania,ALB,2021-05-18,23.98
Albania,ALB,2021-05-19,24.29
Albania,ALB,2021-05-20,24.5
Albania,ALB,2021-05-21,24.67
Albania,ALB,2021-05-23,24.94
Albania,ALB,2021-05-24,25.24
Albania,ALB,2021-05-26,26.07
Albania,ALB,2021-05-27,26.42
Albania,ALB,2021-05-30,26.88
Albania,ALB,2021-05-31,27.03
Albania,ALB,2021-06-01,27.16
Albania,ALB,2021-06-03,27.4
Albania,ALB,2021-06-06,27.8
Albania,ALB,2021-06-07,27.97
Albania,ALB,2021-06-08,28.19
Albania,ALB,2021-06-09,28.42
Albania,ALB,2021-06-10,28.65
Albania,ALB,2021-06-11,28.9
Albania,ALB,2021-06-12,29.06
Albania,ALB,2021-06-13,29.11
Albania,ALB,2021-06-14,29.33
Albania,ALB,2021-06-15,29.53
Albania,ALB,2021-06-16,29.73
Albania,ALB,2021-06-17,30.03
Albania,ALB,2021-06-20,30.66
Albania,ALB,2021-06-21,30.98
Albania,ALB,2021-06-22,31.38
Albania,ALB,2021-06-23,31.77
Albania,ALB,2021-06-24,32.12
Albania,ALB,2021-06-28,32.84
Albania,ALB,2021-06-29,33.26
Albania,ALB,2021-06-30,33.69
Albania,ALB,2021-07-01,33.92
Albania,ALB,2021-07-02,34.16
Albania,ALB,2021-07-04,34.41
Albania,ALB,2021-07-05,34.6
Albania,ALB,2021-07-06,34.81
Albania,ALB,2021-07-07,35
Albania,ALB,2021-07-08,35.2
Albania,ALB,2021-07-09,35.38
Albania,ALB,2021-07-10,35.55
Albania,ALB,2021-07-11,35.6
Albania,ALB,2021-07-12,35.83
Albania,ALB,2021-07-13,36.05
Albania,ALB,2021-07-14,36.32
Albania,ALB,2021-07-15,36.62
Albania,ALB,2021-07-16,36.9
Albania,ALB,2021-07-17,37.14
Albania,ALB,2021-07-18,37.22
Albania,ALB,2021-07-20,37.68
Albania,ALB,2021-07-21,38.13
Albania,ALB,2021-07-22,38.63
Albania,ALB,2021-07-25,39.64
Albania,ALB,2021-07-29,41.06
Albania,ALB,2021-07-30,41.45
Albania,ALB,2021-07-31,41.73
Albania,ALB,2021-08-01,41.88
Albania,ALB,2021-08-02,42.21
Albania,ALB,2021-08-03,42.52
Albania,ALB,2021-08-04,42.79
Albania,ALB,2021-08-05,43.09
Albania,ALB,2021-08-08,43.86
Albania,ALB,2021-08-10,44.56
Albania,ALB,2021-08-13,45.6
Albania,ALB,2021-08-15,45.99
Albania,ALB,2021-08-16,46.32
Albania,ALB,2021-08-17,46.65
Albania,ALB,2021-08-19,47.28
Albania,ALB,2021-08-21,47.8
Albania,ALB,2021-08-22,47.92
Albania,ALB,2021-08-23,48.27
Albania,ALB,2021-08-24,48.61
Albania,ALB,2021-08-25,48.93
Albania,ALB,2021-08-26,49.28
Albania,ALB,2021-08-27,49.7
Albania,ALB,2021-08-29,50.29
Albania,ALB,2021-08-30,50.75
Albania,ALB,2021-08-31,51.25
Albania,ALB,2021-09-01,51.7
Albania,ALB,2021-09-02,52.21
Albania,ALB,2021-09-06,53.58
Albania,ALB,2021-09-07,54.08
Albania,ALB,2021-09-08,54.55
Albania,ALB,2021-09-09,54.98
Albania,ALB,2021-09-10,55.33
Albania,ALB,2021-09-11,55.63
Albania,ALB,2021-09-12,55.75
Albania,ALB,2021-09-13,56.05
Albania,ALB,2021-09-14,56.32
Albania,ALB,2021-09-15,56.58
Albania,ALB,2021-09-16,56.84
Albania,ALB,2021-09-17,57.09
Albania,ALB,2021-09-19,57.43
Albania,ALB,2021-09-20,57.7
Albania,ALB,2021-09-21,57.98
Albania,ALB,2021-09-22,58.27
Algeria,DZA,2021-01-29,0
Algeria,DZA,2021-01-30,0
Algeria,DZA,2021-02-19,0.17
Algeria,DZA,2021-08-20,9.29
Algeria,DZA,2021-09-04,17.93
Algeria,DZA,2021-09-12,22.39
Andorra,AND,2021-01-25,0.74
Andorra,AND,2021-02-01,1.34
Andorra,AND,2021-02-10,1.67
Andorra,AND,2021-02-12,2.1
Andorra,AND,2021-02-19,2.77
Andorra,AND,2021-02-24,3.09
Andorra,AND,2021-02-26,3.27
Andorra,AND,2021-03-08,4.67
Andorra,AND,2021-03-10,6.35
Andorra,AND,2021-03-15,10.81
Andorra,AND,2021-03-19,12.01
Andorra,AND,2021-04-04,16.08
Andorra,AND,2021-04-05,19.74
Andorra,AND,2021-04-11,22.09
Andorra,AND,2021-04-12,24.65
Andorra,AND,2021-04-19,34.15
Andorra,AND,2021-04-26,36.85
Andorra,AND,2021-05-03,37.34
Andorra,AND,2021-05-10,40.89
Andorra,AND,2021-05-17,41.78
Andorra,AND,2021-05-31,46.43
Andorra,AND,2021-06-07,53.61
Andorra,AND,2021-06-14,66.07
Andorra,AND,2021-06-21,81.79
Andorra,AND,2021-06-28,88.33
Andorra,AND,2021-07-12,90.52
Andorra,AND,2021-07-19,106.46
Andorra,AND,2021-08-01,111.59
Andorra,AND,2021-08-15,118.49
Andorra,AND,2021-08-29,120.78
Angola,AGO,2021-03-01,0
Angola,AGO,2021-03-08,0.02
Angola,AGO,2021-03-18,0.14
Angola,AGO,2021-03-24,0.26
Angola,AGO,2021-03-29,0.39
Angola,AGO,2021-04-06,0.54
Angola,AGO,2021-04-11,0.72
Angola,AGO,2021-04-19,1.17
Angola,AGO,2021-04-23,1.34
Angola,AGO,2021-05-12,1.85
Angola,AGO,2021-05-18,2.01
Angola,AGO,2021-05-21,2.23
Angola,AGO,2021-05-26,2.53
Angola,AGO,2021-05-31,2.68
Angola,AGO,2021-06-08,3.29
Angola,AGO,2021-06-10,3.6
Angola,AGO,2021-06-15,3.87
Angola,AGO,2021-06-20,4.07
Angola,AGO,2021-06-24,4.22
Angola,AGO,2021-06-28,4.39
Angola,AGO,2021-07-05,4.46
Angola,AGO,2021-07-12,4.59
Angola,AGO,2021-07-19,4.69
Angola,AGO,2021-08-03,4.95
Angola,AGO,2021-08-09,5
Angola,AGO,2021-08-16,5.09
Angola,AGO,2021-08-20,5.17
Angola,AGO,2021-08-25,5.43
Angola,AGO,2021-09-01,6.15
Angola,AGO,2021-09-11,7.28
Angola,AGO,2021-09-19,8.31
Anguilla,AIA,2021-02-04,0
Anguilla,AIA,2021-02-13,8.87
Anguilla,AIA,2021-02-14,18.26
Anguilla,AIA,2021-02-26,25.98
Anguilla,AIA,2021-03-09,31.07
Anguilla,AIA,2021-03-13,33.06
Anguilla,AIA,2021-03-19,35.36
Anguilla,AIA,2021-04-12,38.58
Anguilla,AIA,2021-04-22,45.61
Anguilla,AIA,2021-05-17,87.5
Anguilla,AIA,2021-05-28,95.49
Anguilla,AIA,2021-06-04,96.24
Anguilla,AIA,2021-06-11,98.76
Anguilla,AIA,2021-06-18,100.48
Anguilla,AIA,2021-06-25,104.39
Anguilla,AIA,2021-07-02,108.83
Anguilla,AIA,2021-07-09,112.07
Anguilla,AIA,2021-07-16,117.73
Anguilla,AIA,2021-07-23,119.01
Anguilla,AIA,2021-07-30,120.28
Anguilla,AIA,2021-08-06,122.03
Anguilla,AIA,2021-08-20,122.04
Anguilla,AIA,2021-09-03,122.12
Anguilla,AIA,2021-09-10,122.19
Anguilla,AIA,2021-09-17,122.74
Antigua and Barbuda,ATG,2021-02-16,0
Antigua and Barbuda,ATG,2021-03-15,24.48
Antigua and Barbuda,ATG,2021-03-19,26.01
Antigua and Barbuda,ATG,2021-03-25,26.76
Antigua and Barbuda,ATG,2021-03-31,27.18
Antigua and Barbuda,ATG,2021-04-03,27.38
Antigua and Barbuda,ATG,2021-04-14,27.95
Antigua and Barbuda,ATG,2021-04-16,28.78
Antigua and Barbuda,ATG,2021-04-17,29.01
Antigua and Barbuda,ATG,2021-04-22,30.14
Antigua and Barbuda,ATG,2021-05-07,31.49
Antigua and Barbuda,ATG,2021-05-11,31.66
Antigua and Barbuda,ATG,2021-05-17,34.88
Antigua and Barbuda,ATG,2021-05-21,40.03
Antigua and Barbuda,ATG,2021-05-25,42.55
Antigua and Barbuda,ATG,2021-05-26,44.8
Antigua and Barbuda,ATG,2021-05-27,46.53
Antigua and Barbuda,ATG,2021-05-29,48.97
Antigua and Barbuda,ATG,2021-05-31,50.98
Antigua and Barbuda,ATG,2021-06-03,52.48
Antigua and Barbuda,ATG,2021-06-06,56.29
Antigua and Barbuda,ATG,2021-06-07,58
Antigua and Barbuda,ATG,2021-06-09,58.82
Antigua and Barbuda,ATG,2021-06-12,59.48
Antigua and Barbuda,ATG,2021-06-15,60.35
Antigua and Barbuda,ATG,2021-06-17,63.01
Antigua and Barbuda,ATG,2021-06-20,63.62
Antigua and Barbuda,ATG,2021-06-29,64.82
Antigua and Barbuda,ATG,2021-07-01,65.29
Antigua and Barbuda,ATG,2021-07-04,65.53
Antigua and Barbuda,ATG,2021-07-06,65.66
Antigua and Barbuda,ATG,2021-07-08,65.92
Antigua and Barbuda,ATG,2021-07-09,66.18
Antigua and Barbuda,ATG,2021-07-13,66.5
Antigua and Barbuda,ATG,2021-07-15,66.6
Antigua and Barbuda,ATG,2021-07-18,66.98
Antigua and Barbuda,ATG,2021-07-20,67.26
Antigua and Barbuda,ATG,2021-07-21,67.38
Antigua and Barbuda,ATG,2021-07-22,68.72
Antigua and Barbuda,ATG,2021-07-25,69.15
Antigua and Barbuda,ATG,2021-07-28,69.6
Antigua and Barbuda,ATG,2021-07-29,69.74
Antigua and Barbuda,ATG,2021-08-02,70.18
Antigua and Barbuda,ATG,2021-08-04,70.41
Antigua and Barbuda,ATG,2021-08-07,70.8
Antigua and Barbuda,ATG,2021-08-10,70.92
Antigua and Barbuda,ATG,2021-08-14,71.98
Antigua and Barbuda,ATG,2021-08-16,72.35
Antigua and Barbuda,ATG,2021-08-19,72.52
Antigua and Barbuda,ATG,2021-08-22,73.21
Antigua and Barbuda,ATG,2021-08-24,73.84
Antigua and Barbuda,ATG,2021-08-28,74.65
Antigua and Barbuda,ATG,2021-08-30,75.6
Antigua and Barbuda,ATG,2021-08-31,76.04
Antigua and Barbuda,ATG,2021-09-07,79
Antigua and Barbuda,ATG,2021-09-10,80.41
Antigua and Barbuda,ATG,2021-09-13,80.95
Antigua and Barbuda,ATG,2021-09-17,82.97
Argentina,ARG,2020-12-29,0
Argentina,ARG,2020-12-31,0.07
Argentina,ARG,2021-01-04,0.09
Argentina,ARG,2021-01-08,0.24
Argentina,ARG,2021-01-13,0.37
Argentina,ARG,2021-01-15,0.44
Argentina,ARG,2021-01-20,0.54
Argentina,ARG,2021-01-21,0.58
Argentina,ARG,2021-01-22,0.61
Argentina,ARG,2021-01-23,0.63
Argentina,ARG,2021-01-24,0.64
Argentina,ARG,2021-01-25,0.64
Argentina,ARG,2021-01-26,0.67
Argentina,ARG,2021-01-27,0.7
Argentina,ARG,2021-01-28,0.72
Argentina,ARG,2021-01-29,0.75
Argentina,ARG,2021-01-30,0.8
Argentina,ARG,2021-02-01,0.82
Argentina,ARG,2021-02-03,0.87
Argentina,ARG,2021-02-04,0.97
Argentina,ARG,2021-02-06,1.03
Argentina,ARG,2021-02-07,1.1
Argentina,ARG,2021-02-08,1.12
Argentina,ARG,2021-02-09,1.13
Argentina,ARG,2021-02-10,1.17
Argentina,ARG,2021-02-11,1.26
Argentina,ARG,2021-02-12,1.3
Argentina,ARG,2021-02-13,1.33
Argentina,ARG,2021-02-14,1.34
Argentina,ARG,2021-02-15,1.34
Argentina,ARG,2021-02-16,1.34
Argentina,ARG,2021-02-17,1.34
Argentina,ARG,2021-02-18,1.39
Argentina,ARG,2021-02-19,1.47
Argentina,ARG,2021-02-20,1.55
Argentina,ARG,2021-02-21,1.58
Argentina,ARG,2021-02-22,1.58
Argentina,ARG,2021-02-23,1.64
Argentina,ARG,2021-02-24,1.71
Argentina,ARG,2021-02-25,1.82
Argentina,ARG,2021-02-26,1.98
Argentina,ARG,2021-02-27,2.16
Argentina,ARG,2021-02-28,2.25
Argentina,ARG,2021-03-01,2.3
Argentina,ARG,2021-03-02,2.47
Argentina,ARG,2021-03-03,2.59
Argentina,ARG,2021-03-04,2.75
Argentina,ARG,2021-03-05,2.98
Argentina,ARG,2021-03-07,3.35
Argentina,ARG,2021-03-08,3.39
Argentina,ARG,2021-03-09,3.62
Argentina,ARG,2021-03-10,3.89
Argentina,ARG,2021-03-11,4.21
Argentina,ARG,2021-03-12,4.6
Argentina,ARG,2021-03-13,5.03
Argentina,ARG,2021-03-14,5.22
Argentina,ARG,2021-03-15,5.27
Argentina,ARG,2021-03-16,5.57
Argentina,ARG,2021-03-17,5.85
Argentina,ARG,2021-03-18,6.15
Argentina,ARG,2021-03-19,6.45
Argentina,ARG,2021-03-20,6.72
Argentina,ARG,2021-03-21,6.84
Argentina,ARG,2021-03-22,6.89
Argentina,ARG,2021-03-23,7.11
Argentina,ARG,2021-03-24,7.3
Argentina,ARG,2021-03-25,7.38
Argentina,ARG,2021-03-26,7.62
Argentina,ARG,2021-03-27,7.83
Argentina,ARG,2021-03-28,7.95
Argentina,ARG,2021-03-29,7.99
Argentina,ARG,2021-03-30,8.21
Argentina,ARG,2021-03-31,8.53
Argentina,ARG,2021-04-01,8.82
Argentina,ARG,2021-04-02,9.04
Argentina,ARG,2021-04-03,9.16
Argentina,ARG,2021-04-04,9.29
Argentina,ARG,2021-04-05,9.34
Argentina,ARG,2021-04-06,9.66
Argentina,ARG,2021-04-07,10.02
Argentina,ARG,2021-04-08,10.46
Argentina,ARG,2021-04-09,10.87
Argentina,ARG,2021-04-10,11.41
Argentina,ARG,2021-04-11,11.65
Argentina,ARG,2021-04-12,11.82
Argentina,ARG,2021-04-13,12.22
Argentina,ARG,2021-04-14,12.62
Argentina,ARG,2021-04-15,13.01
Argentina,ARG,2021-04-16,13.36
Argentina,ARG,2021-04-17,13.65
Argentina,ARG,2021-04-18,13.79
Argentina,ARG,2021-04-19,13.89
Argentina,ARG,2021-04-20,14.11
Argentina,ARG,2021-04-21,14.36
Argentina,ARG,2021-04-22,14.68
Argentina,ARG,2021-04-23,14.93
Argentina,ARG,2021-04-24,15.39
Argentina,ARG,2021-04-25,15.64
Argentina,ARG,2021-04-26,15.82
Argentina,ARG,2021-04-27,16.2
Argentina,ARG,2021-04-28,16.57
Argentina,ARG,2021-04-29,16.92
Argentina,ARG,2021-04-30,17.25
Argentina,ARG,2021-05-01,17.48
Argentina,ARG,2021-05-02,17.54
Argentina,ARG,2021-05-03,17.63
Argentina,ARG,2021-05-04,17.97
Argentina,ARG,2021-05-05,18.4
Argentina,ARG,2021-05-06,18.84
Argentina,ARG,2021-05-07,19.34
Argentina,ARG,2021-05-08,19.74
Argentina,ARG,2021-05-09,19.92
Argentina,ARG,2021-05-10,20
Argentina,ARG,2021-05-11,20.25
Argentina,ARG,2021-05-12,20.58
Argentina,ARG,2021-05-13,20.92
Argentina,ARG,2021-05-14,21.28
Argentina,ARG,2021-05-15,21.63
Argentina,ARG,2021-05-16,21.77
Argentina,ARG,2021-05-17,21.93
Argentina,ARG,2021-05-18,22.35
Argentina,ARG,2021-05-19,22.77
Argentina,ARG,2021-05-20,23.13
Argentina,ARG,2021-05-21,23.59
Argentina,ARG,2021-05-22,24.03
Argentina,ARG,2021-05-23,24.27
Argentina,ARG,2021-05-24,24.45
Argentina,ARG,2021-05-25,24.65
Argentina,ARG,2021-05-26,24.85
Argentina,ARG,2021-05-27,25.22
Argentina,ARG,2021-05-28,25.6
Argentina,ARG,2021-05-29,26.11
Argentina,ARG,2021-05-30,26.58
Argentina,ARG,2021-05-31,26.88
Argentina,ARG,2021-06-01,27.4
Argentina,ARG,2021-06-02,28.07
Argentina,ARG,2021-06-03,28.68
Argentina,ARG,2021-06-04,29.33
Argentina,ARG,2021-06-05,30.11
Argentina,ARG,2021-06-06,30.9
Argentina,ARG,2021-06-07,31.43
Argentina,ARG,2021-06-08,32.15
Argentina,ARG,2021-06-09,32.92
Argentina,ARG,2021-06-10,33.67
Argentina,ARG,2021-06-11,34.49
